frame,x,y
10,527.4101382488479 280.3353658536585 779.1705069124424 523.035769828927 253.4141914191419 456.3823038397329 633.4844517184943 827.0083194675541 521.4024179620035 276.67201426024957 741.5545774647887 518.2688172043011,141.4500768049155 145.6951219512195 151.64362519201228 238.1244167962675 421.4026402640264 425.8781302170284 428.47299509001635 450.89850249584026 549.8911917098445 647.7575757575758 658.0845070422536 658.5448028673835
11,527.4751552795032 280.7947932618683 779.06 523.2843601895735 253.6297520661157 456.5654362416107 633.4783333333334 827.0200668896321 521.6868512110726 276.70125223613593 741.8152753108349 518.3971119133574,143.85093167701862 147.93261868300152 154.0046153846154 240.66666666666666 424.71570247933886 429.33053691275165 431.945 454.26421404682276 553.6920415224913 652.4615384615385 662.6021314387211 663.4494584837545
12,527.8865030674847 281.59090909090907 778.7206790123457 523.5211267605633 254.21452145214522 456.9567387687188 633.815660685155 827.4196721311475 521.9864406779661 276.84656084656086 742.351304347826 518.8386524822695,148.41104294478527 152.6909090909091 158.6851851851852 245.8967136150235 431.33498349834986 436.108153078203 438.6916802610114 461.1344262295082 561.8694915254238 661.7231040564374 671.8678260869565 672.6950354609929
13,527.7578616352201 281.90895061728395 778.340625 523.5746388443017 254.30383973288815 456.95454545454544 633.8462837837837 827.2262895174708 521.9479166666666 276.6934046345811 742.4387211367673 518.799645390071,150.77201257861634 154.93055555555554 161.1046875 248.41252006420547 434.57262103505843 439.34343434343435 441.89864864864865 464.414309484193 565.6631944444445 666.060606060606 676.380106571936 677.1719858156029
14,527.3452012383901 282.0752688172043 777.4444444444445 523.1768388106416 253.99671052631578 456.56600660066005 633.2132231404959 826.6206896551724 521.5401709401709 276.1035087719298 742.1542461005199 518.2973451327433,155.72445820433435 160.00921658986175 165.9969135802469 253.8435054773083 441.3930921052632 446.37293729372936 448.8446280991736 471.54679802955667 573.8410256410257 675.4543859649123 685.5927209705372 686.4955752212389
15,527.3131955484897 282.3391167192429 777.1340694006309 523.1057692307693 254.05862646566163 456.6170568561873 633.325 826.5922818791946 521.5435540069686 276.01960784313724 742.2884955752212 518.3938848920864,158.45468998410175 162.64668769716087 168.66876971608832 256.71634615384613 444.95644891122276 450.056856187291 452.45666666666665 475.2281879194631 578.006968641115 680.030303030303 690.2973451327433 691.339928057554
16,527.7059748427673 283.20314960629923 776.9045383411581 523.520634920635 254.46381578947367 457.08291873963515 633.6138613861386 826.9451827242525 521.8630136986301 276.0732984293194 742.9514731369151 518.7142857142857,163.3930817610063 167.55590551181103 173.6697965571205 262.16190476190474 451.43092105263156 456.4892205638474 458.98514851485146 481.9468438538206 585.5890410958904 688.7731239092495 698.94280762565 700.0546737213404
17,527.5839874411303 283.5716535433071 776.4882629107981 523.4992101105845 254.7860696517413 457.10738255033556 633.5073891625616 826.9534109816972 521.9470085470085 276.00174216027875 743.1066433566433 518.8,166.0879120879121 170.44251968503937 176.48513302034428 265.00631911532383 455.0480928689884 460.05536912751677 462.54679802955667 485.5773710482529 589.7811965811966 693.3885017421603 703.6241258741259 704.7684210526315
18,527.4581358609795 283.81903276131044 775.7332293291731 523.2312599681021 254.55666666666667 456.90452261306535 633.3731587561375 826.4810543657331 521.719387755102 275.39930555555554 743.1174438687392 518.6625874125874,171.4091627172196 175.78939157566302 181.82215288611545 270.61881977671453 461.6066666666667 466.99497487437185 469.36988543371524 492.4431630971993 597.6836734693877 702.2934027777778 712.4697754749568 713.8391608391609
19,527.426517571885 284.09220985691576 775.448 523.1761827079935 254.58597662771285 456.77946127946126 633.2757475083057 826.5166112956811 521.6586206896552 275.34736842105264 743.2534722222222 518.5231316725979,174.30351437699682 178.6248012718601 184.6944 273.7226753670473 465.2721202003339 470.57744107744105 472.86378737541526 496.1179401993355 601.6310344827587 706.8333333333334 716.9548611111111 718.3362989323844
20,527.5321821036107 284.78660436137073 775.0765625 523.4112 254.8474295190713 457.1208609271523 633.3977086743045 826.6798679867986 521.8375634517766 275.15318416523235 743.7770154373928 518.8382099827883,179.93406593406593 184.24143302180684 190.2828125 279.512 471.9585406301824 477.34437086092714 479.68412438625205 503.02145214521454 609.5532994923858 715.7039586919105 725.8885077186964 727.2426850258175
21,527.5977917981072 285.11598746081506 774.8775510204082 523.4936305732484 254.990099009901 457.118530884808 633.437908496732 826.6408566721582 521.9474576271186 275.1286449399657 743.9619377162629 518.8062283737024,182.90851735015772 187.217868338558 193.26373626373626 282.6019108280255 475.55115511551156 481.02170283806345 483.34150326797385 506.67874794069195 613.6135593220339 720.1955403087478 730.30276816609 731.8217993079585
22,527.547433903577 285.59627329192546 774.348367029549 523.3643533123028 255.12561174551388 457.2435483870968 633.4105431309904 826.5557350565429 521.8825503355705 274.91850594227503 744.1986531986532 518.8401360544218,188.47589424572317 192.88975155279502 198.96889580093313 288.4637223974763 482.2920065252855 487.65806451612906 489.8801916932907 513.4798061389338 621.1392617449665 728.6095076400679 738.8569023569023 740.4268707482993
23,527.5181102362204 285.8726708074534 773.9041731066461 523.4079365079365 255.1172638436482 457.2062193126023 633.3828756058158 826.5334420880913 521.975 274.7027027027027 744.306779661017 518.8003412969283,191.73543307086615 196.07919254658384 202.0741885625966 291.64920634920634 485.7035830618893 491.2962356792144 493.5605815831987 517.0799347471452 625.19 733.1114864864865 743.1491525423729 744.8788395904437
24,527.4415156507414 286.24183006535947 773.3723228995058 523.1976935749589 255.00511073253833 456.9344827586207 633.2197614991483 826.4814814814815 521.8181818181819 274.2857142857143 744.6003521126761 518.6613475177305,197.835255354201 202.22875816993465 208.31136738056014 297.79406919275124 492.6831345826235 498.5431034482759 500.62862010221465 524.1649831649831 632.9405594405595 741.9594356261023 752.0088028169014 753.7056737588653
25,527.4817275747508 286.480198019802 773.0960912052117 523.2661157024793 255.16354344122658 457.1239388794567 633.3701188455009 826.5808080808081 521.8728222996516 274.19473684210527 744.9340277777778 518.6806282722513,200.8936877076412 205.14521452145215 211.3973941368078 300.97355371900824 496.11073253833047 501.94057724957554 504.10526315789474 527.6969696969697 636.8763066202091 746.0842105263158 756.1527777777778 758.0314136125654
26,527.5066225165563 287.112582781457 772.6970198675497 523.3643926788685 255.20962199312714 457.18213058419246 633.3996598639455 826.5294117647059 522.0104166666666 273.90685413005275 745.1241258741259 518.8712522045855,207.23509933774835 211.5248344370861 217.52814569536423 307.414309484193 502.98797250859104 508.8659793814433 510.9812925170068 534.7579831932773 644.4652777777778 754.5149384885765 764.5314685314685 766.3985890652557
27,527.5289256198347 287.33554817275746 772.5190082644629 523.3803278688524 255.32656514382404 457.2555366269165 633.4280879864637 826.6796610169491 522.046875 273.88368055555554 745.4658493870403 518.8857644991213,210.53223140495868 214.93355481727573 220.6495867768595 310.6016393442623 506.61928934010155 512.5962521294718 514.7817258883249 538.3474576271186 648.5763888888889 759.0034722222222 768.9492119089317 770.8927943760984
28,527.5478547854785 287.9450915141431 772.0663349917081 523.5166666666667 255.46452702702703 457.2930153321976 633.3305084745763 826.7249575551783 521.9600694444445 273.6024518388792 745.8676975945017 518.8986013986014,216.63531353135315 221.10648918469218 227.1608623548922 316.77166666666665 513.3699324324324 519.2385008517888 521.1864406779661 545.1477079796265 655.8246527777778 766.9597197898424 776.955326460481 778.9685314685315
29,527.4446308724832 287.9834710743802 771.7131011608624 523.4492512479202 255.3344768439108 457.26153846153846 633.2699490662139 826.7741935483871 522.0225694444445 273.1751313485114 746.0535405872193 518.8675958188153,220.09228187919464 224.55371900826447 230.60862354892205 320.1830282861897 516.9176672384219 522.8735042735043 524.8964346349745 548.7877758913413 659.8020833333334 771.2381786339755 781.2176165803108 783.2665505226481
30,527.4958263772955 288.4776859504132 771.2745424292846 523.395 255.45622895622895 457.2679180887372 633.4198988195616 826.7881355932203 521.9792387543253 272.94097222222223 746.3356282271945 518.9256055363322,226.90317195325542 231.29090909090908 237.1946755407654 326.96666666666664 523.8013468013468 529.9488054607508 531.9881956155143 555.7508474576272 667.3806228373702 779.4756944444445 789.3356282271945 791.6453287197232
31,527.5993377483444 288.9016393442623 771.1225165562914 523.6033333333334 255.5942275042445 457.3885135135135 633.4917218543046 826.9882352941177 522.1025641025641 272.9065743944637 746.8805460750854 519.0397236614854,230.15728476821192 234.51475409836067 240.4337748344371 330.1066666666667 527.1578947368421 533.3057432432432 535.3211920529801 559.09243697479 670.9538461538461 783.3806228373702 793.2133105802047 795.5233160621761
32,527.7524752475248 289.5121951219512 770.7825370675453 523.7412935323383 255.75671140939596 457.612582781457 633.6617405582923 827.2310231023102 522.2680067001675 272.58178752107926 747.3277591973244 519.1723549488055,237.12706270627064 241.6569105691057 247.59308072487644 337.0547263681592 534.3674496644295 540.5298013245033 542.4942528735633 566.2640264026403 678.750418760469 791.779089376054 801.6220735785953 803.9044368600682
33,527.5430463576159 289.5863787375415 770.3671096345515 523.4958677685951 255.51945854483927 457.37142857142857 633.5260504201681 826.9816360601002 522.0611205432937 272.09199318568994 747.2588235294118 519.0034129692833,240.6291390728477 245.0730897009967 251.01661129568106 340.4413223140496 537.7901861252116 543.9966386554622 546.0084033613446 569.8180300500835 682.3921901528014 795.7359454855196 805.6151260504201 807.9709897610921
34,527.2222222222222 289.4075907590759 769.8653530377668 523.2610837438424 255.18166666666667 457.1507537688442 633.1471074380165 826.8153078202995 521.8600337268128 271.71932773109245 747.181512605042 518.8260135135135,243.99170812603649 248.46039603960395 254.43021346469624 343.6600985221675 540.925 547.3902847571189 549.2677685950413 573.0066555740433 685.9696458684655 799.4453781512605 809.2672268907563 811.7077702702703
35,527.4700162074554 290.01967213114756 769.5373376623377 523.415986949429 255.37891268533772 457.3371522094926 633.4271685761047 827.0498338870432 522.0643564356436 271.4742951907131 747.8585690515807 518.981512605042,251.16531604538088 255.6081967213115 261.52435064935065 350.5562805872757 548.0560131795717 554.4009819967267 556.2978723404256 580.0813953488372 693.3927392739274 807.334991708126 817.0665557404326 819.6319327731093
36,527.6401326699835 290.6523178807947 769.3719008264463 523.610197368421 255.71973466003317 457.4438943894389 633.6937086092715 827.3687707641196 522.3866666666667 271.2279534109817 748.6019900497513 519.1966666666667,258.5688225538972 262.96854304635764 268.8512396694215 357.6743421052632 555.0679933665008 561.5049504950495 563.5049668874173 587.1229235880398 700.78 815.3311148086523 824.9021558872305 827.525
37,527.5664451827242 290.85502471169684 769.2224052718286 523.5728476821192 255.61322314049588 457.4841402337229 633.6892561983472 827.4148760330579 522.3422370617697 271.05 748.6181818181818 519.1624790619766,262.3455149501661 266.5650741350906 272.52388797364085 361.17715231788077 558.5702479338843 565.0217028380634 566.7801652892562 590.6859504132232 704.3856427378965 819.08 828.5834710743802 831.2294807370184
38,527.4483333333334 291.0634390651085 768.5797342192691 523.4792703150912 255.43822075782538 457.25252525252523 633.6354679802955 827.4490131578947 522.2320534223707 270.4726368159204 749.0540983606558 519.0619765494138,269.4533333333333 273.9465776293823 279.72591362126246 368.16915422885575 565.3838550247117 571.8232323232323 573.6190476190476 597.4671052631579 711.49081803005 826.5538971807629 836.1409836065574 838.961474036851
39,527.3752066115702 291.1685950413223 768.3092105263158 523.450495049505 255.28995057660626 457.300826446281 633.5765472312704 827.4910569105691 522.0863787375415 270.11348684210526 749.2939244663382 519.0794701986755,273.4677685950413 277.8776859504132 283.6381578947368 371.87293729372936 568.9192751235585 575.596694214876 577.4022801302932 601.0959349593496 715.2325581395348 830.3980263157895 840.0262725779967 842.8973509933775
40,527.825 291.9983277591973 768.2123745819398 523.8901830282862 255.64203612479474 457.71 633.9191419141914 827.9143327841845 522.5442404006678 270.0464344941957 750.0181219110378 519.4643449419569,280.745 285.09197324414714 290.9046822742475 378.77703826955076 575.4794745484401 582.245 583.8811881188119 607.6392092257001 721.9465776293823 837.4676616915423 846.9785831960461 849.8291873963516
41,527.7516666666667 292.0966666666667 768.1057046979865 523.7256198347108 255.7379767827529 457.72561983471076 634.0522875816994 828.0542763157895 522.5644371941272 269.88360655737705 750.4115755627009 519.5,284.53333333333336 288.8333333333333 294.7936241610738 382.36694214876036 578.9900497512438 585.5685950413223 587.3611111111111 610.9769736842105 725.4649265905383 841.0426229508197 850.5819935691318 853.5
42,527.5872483221476 292.2610169491525 767.6621621621622 523.730964467005 255.39327731092436 457.55536912751677 633.933774834437 828.09 522.5 269.1794019933555 750.7021276595744 519.3871499176277,292.55536912751677 296.88305084745764 302.7128378378378 389.9543147208122 586.0789915966386 592.9093959731543 594.6556291390729 618.0983333333334 732.7333333333333 848.7707641196014 858.2176759410802 861.1433278418451
43,527.4721753794266 292.33887043189367 767.3622704507512 523.4867109634552 255.23228995057661 457.3702479338843 633.8216039279869 827.9983660130719 522.3184818481848 268.76480263157896 750.7913322632423 519.3110749185668,296.1989881956155 300.51661129568106 306.3422370617696 393.3554817275747 589.2602965403624 596.1223140495867 597.7430441898528 621.1960784313726 735.983498349835 851.9769736842105 861.3675762439807 864.4022801302932
44,527.5315161839864 292.77386934673365 767.0472175379426 523.5659432387312 255.26158940397352 457.5016835016835 633.9373970345964 828.2565789473684 522.3735537190082 268.3218954248366 751.4269480519481 519.3973941368079,304.1805792163543 308.50083752093803 314.2259696458685 400.80300500834727 596.2135761589404 603.0050505050505 604.7281713344316 628.172697368421 742.9173553719008 859.031045751634 868.4415584415584 871.4885993485342
45,527.6448911222781 293.02666666666664 767.0100840336135 523.6518151815181 255.2829268292683 457.53355155482814 634.2081300813009 828.5056726094003 522.5064516129032 268.3086816720257 751.7255216693419 519.5370967741935,308.15577889447235 312.4633333333333 318.0655462184874 404.57095709570956 599.6747967479674 606.4795417348608 608.1691056910569 631.5008103727715 746.2967741935483 862.5868167202573 871.7913322632423 875.0387096774193
46,527.7389830508474 293.46345514950167 766.72 523.8023255813954 255.39443535188215 457.58347107438016 634.312091503268 828.7967479674796 522.6737357259381 267.8848 752.4322169059011 519.5707395498392,316.1152542372881 320.4651162790698 326.11 411.921926910299 606.4860883797054 613.3206611570248 614.9477124183006 638.2065040650407 752.9706362153344 869.3488 878.4401913875598 881.725080385852
47,527.7689713322092 293.566889632107 766.5892255892256 523.825 255.28711256117455 457.59609120521174 634.3496732026143 828.8566827697263 522.7166392092257 267.5936 752.7344992050874 519.6330128205128,319.8988195615514 324.3628762541806 329.83838383838383 415.49666666666667 609.5530179445351 616.5195439739414 617.9722222222222 641.3752012882447 755.9752883031301 872.3376 881.4833068362481 884.8076923076923
48,527.6969178082192 293.7825342465753 766.2161234991423 523.7775891341256 255.03171953255426 457.56456953642385 634.4072249589491 829.3387622149837 522.7185430463576 267.064 753.3178913738019 519.6514657980456,328.23972602739724 332.66267123287673 338.24528301886795 423.16129032258067 616.6878130217028 623.615894039735 625.2660098522167 648.4332247557003 762.9784768211921 879.44 888.5223642172524 891.7980456026058
49,527.6786324786325 294.0101694915254 766.0286677908938 523.8710217755444 255.00663349917082 457.61397670549087 634.4575163398692 829.3646677471637 522.7226753670473 266.7223113964687 753.5624012638231 519.520634920635,332.25299145299147 336.6423728813559 342.21079258010116 427.00670016750416 619.8126036484246 626.9467554076539 628.4411764705883 651.5316045380875 766.2398042414355 882.6147672552167 891.5466034755134 894.9857142857143
50,527.80204778157 294.4966216216216 765.8163265306123 523.8703703703703 255.18760195758566 457.68046357615896 634.5537459283388 829.6188925081433 522.8222940226171 266.4015873015873 754.311320754717 519.6741573033707,340.64846416382255 344.78547297297297 350.30272108843536 434.6060606060606 626.5889070146819 633.5927152317881 634.9690553745928 658.0618892508144 772.4959612277868 888.7603174603174 897.566037735849 901.2423756019261
51,527.7925170068028 294.571186440678 765.8084745762712 523.9816360601002 254.98519736842104 457.71004942339374 634.7066450567261 829.8112903225806 522.9250814332247 266.1324921135647 754.6031496062992 519.875,344.77891156462584 348.97627118644067 354.56610169491523 438.34056761268783 629.9243421052631 636.9604612850083 638.4408427876823 661.3725806451613 775.6872964169381 892.1135646687698 900.8251968503937 904.4762658227849
52,527.6862068965518 294.59067357512953 765.7286689419795 523.917089678511 254.81788079470198 457.65890183028284 634.7528830313015 830.0130718954248 522.9123966942149 265.7964458804523 755.0258899676376 519.8215434083602,348.8758620689655 353.12262521588946 358.58191126279866 442.0693739424704 633.1804635761589 640.2895174708818 641.7232289950576 664.5147058823529 778.7917355371901 895.184168012924 903.8608414239483 907.5048231511254
53,527.5724137931035 294.7741379310345 765.0465517241379 523.7198641765705 254.5156507413509 457.3685950413223 634.5907590759076 829.8415841584158 522.6400651465798 265.0190174326466 755.1946624803768 519.5890850722311,357.17413793103447 361.3137931034483 366.8155172413793 449.76570458404075 639.5354200988468 646.904132231405 648.2260726072607 670.9884488448845 784.8583061889251 901.0554675118859 909.6028257456829 913.3916532905297
54,527.4623287671233 294.9222972972973 764.7870528109029 523.6404682274248 254.30694668820678 457.3142389525368 634.6296900489397 830.2282958199357 522.6144 264.4251968503937 755.6702954898911 519.6179245283018,365.93150684931504 370.0337837837838 375.2589437819421 457.5551839464883 646.4781906300485 653.59410801964 655.042414355628 677.6350482315113 791.2768 907.2267716535433 915.6905132192846 919.5314465408806
55,527.5570934256056 294.97084048027443 764.840830449827 523.7272727272727 254.24104234527687 457.3880597014925 634.8059210526316 830.4629032258065 522.6366559485531 264.20565149136576 756.0170807453416 519.7104430379746,369.961937716263 374.0308747855918 379.318339100346 461.3013468013468 649.5586319218241 656.8258706467661 658.1184210526316 680.6306451612903 794.1897106109325 909.8634222919937 918.4083850931677 922.2705696202531
56,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
57,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
58,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
59,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
60,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
61,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
62,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
63,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
64,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
65,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
66,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
67,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
68,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
69,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
70,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
71,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
72,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
73,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
74,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
75,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
76,730.4938271604939 548.9208754208754 933.923184357542 725.0903426791277 519.0051194539249 673.0224358974359 813.9656716417911 980.4660194174758 723.4283489096574 531.4571428571429 909.6219686162625 720.4621451104101,255.5756172839506 267.46127946127945 258.4413407821229 357.5623052959502 553.4948805460753 564.6634615384615 571.0776119402985 602.5312066574203 709.2803738317758 808.6722689075631 854.5406562054209 838.9716088328076
77,726.2009569377991 541.9759862778731 931.8964028776979 720.7491909385114 511.9321739130436 667.929392446634 810.8734756097562 979.2905982905984 719.1695721077656 524.4037800687286 907.566617862372 716.1591639871384,256.06379585326954 267.70668953687823 259.07913669064743 357.88349514563106 553.6886956521738 564.9146141215107 571.2393292682925 602.2763532763532 709.2916006339144 808.8951890034363 853.9472913616397 838.7588424437299
78,721.3983870967742 534.2631578947369 929.8421052631579 715.9001636661211 503.86200716845883 662.4620462046205 807.3681747269892 977.8231884057972 714.2728758169935 516.5755395683453 905.4036144578313 711.5107794361526,256.1354838709677 267.56315789473683 259.2368421052631 357.77086743044185 553.4731182795699 564.476897689769 570.7597503900156 601.5927536231884 708.6633986928103 808.706834532374 852.7063253012047 838.1044776119403
79,718.1374795417348 529.5759717314487 927.964705882353 712.8244147157191 499.00894454382825 658.8152542372882 804.8515007898894 976.3768545994068 711.2286184210526 511.68345323741005 903.8196969696971 708.2777777777779,256.2765957446808 267.56360424028264 259.4970588235294 357.94983277591973 553.5223613595706 564.5644067796609 570.5860979462875 601.2551928783382 708.3980263157894 808.6366906474819 852.2060606060605 837.8686868686867
80,712.0821256038648 520.2378472222222 924.9042709867455 706.7168576104748 489.2291296625222 651.8415841584158 800.3070866141733 974.3120464441222 705.0875202593193 502.282456140351 900.6375939849626 702.3471074380167,256.5442834138486 267.73958333333326 260.09278350515456 358.12929623567913 553.5115452930728 564.3960396039604 570.4645669291339 600.978229317852 708.1361426256077 808.7842105263157 851.1443609022555 837.398347107438
81,709.1853035143771 515.5599315068494 923.3054331864904 703.6629032258065 484.3368421052631 648.3534201954399 798.0263565891473 973.2442196531794 702.0887096774194 497.56643356643355 899.0823353293413 699.2,256.60543130990413 267.57705479452056 260.3230543318649 358.07580645161283 553.5140350877192 564.3241042345276 570.1689922480621 600.4942196531791 707.8048387096774 808.7185314685315 850.2919161676647 836.993388429752
82,705.464856230032 510.12991452991446 921.2518195050947 700.1807817589576 478.86713286713274 644.3218954248366 795.151937984496 971.5441389290881 698.5 492.015570934256 897.0535714285713 695.595744680851,256.8115015974441 267.63931623931626 260.688500727802 358.15798045602605 553.527972027972 564.2892156862745 570.0124031007753 600.2547033285095 707.604501607717 808.6418685121107 849.8139880952381 836.5810147299509
